Ride_ID,Date,City,Pickup_Area,Drop_Area,Distance_km,Ride_Time_min,Fare_INR,Driver_Rating,Rider_Rating,Payment_Mode,Ride_Status
R10000,2025-02-01,Chennai,Begumpet,Somajiguda,6.5,21,148.32,4.65,4.84,Card,Completed
R10001,2025-04-25,Chennai,Hitech City,Uppal,14.49,50,189.86,3.87,4.42,Card,Completed
R10002,2025-06-12,Delhi,Somajiguda,Kukatpally,10.72,54,212.61,4.46,4.61,UPI,Completed
R10003,2025-02-10,Mumbai,Gachibowli,Secunderabad,10.86,33,202.88,3.82,3.84,UPI,Completed
R10004,2025-01-28,Bangalore,Secunderabad,Begumpet,11.35,60,142.32,4.69,4.97,Card,Completed
R10005,2025-03-12,Pune,Kukatpally,LB Nagar,2.9,9,59.22,4.95,4.16,Cash,Completed
R10006,2025-05-28,Pune,Kukatpally,Kondapur,2.09,9,62.74,4.92,3.98,Cash,Completed
R10007,2025-04-09,Chennai,Kukatpally,Gachibowli,6.69,28,127.45,3.91,3.86,UPI,Completed
R10008,2025-01-23,Mumbai,Hitech City,Madhapur,12.69,39,174.95,4.82,4.92,UPI,Cancelled
R10009,2025-02-03,Hyderabad,Uppal,Secunderabad,7.6,44,165.67,3.88,3.91,Card,Completed
R10010,2025-06-01,Chennai,Somajiguda,Uppal,11.67,55,193.57,4.05,4.13,UPI,Completed
R10011,2025-01-04,Chennai,Ameerpet,Gachibowli,12.61,49,256.97,3.85,3.98,Card,Completed
R10012,2025-03-14,Bangalore,Gachibowli,Madhapur,13.05,46,220.77,4.48,4.16,Cash,Completed
R10013,2025-03-03,Pune,Miyapur,Jubilee Hills,1.92,9,54.8,4.82,4.52,UPI,Cancelled
R10014,2025-01-08,Delhi,Kondapur,Miyapur,12.02,64,201.8,4.21,4.13,UPI,Cancelled
R10015,2025-04-01,Delhi,Secunderabad,Ameerpet,10.0,39,122.54,4.82,4.73,UPI,Completed
R10016,2025-01-22,Pune,Begumpet,Gachibowli,8.66,51,173.27,4.24,3.93,UPI,Completed
R10017,2025-02-25,Hyderabad,Jubilee Hills,Kukatpally,5.96,32,105.88,4.76,4.76,Card,Completed
R10018,2025-04-04,Hyderabad,Banjara Hills,Uppal,4.55,18,80.51,4.99,4.51,Cash,Completed
R10019,2025-01-31,Hyderabad,Mehdipatnam,Kondapur,6.81,38,107.6,3.8,4.17,UPI,Completed
R10020,2025-05-05,Chennai,LB Nagar,Gachibowli,3.15,17,63.38,4.4,4.51,Cash,Cancelled
R10021,2025-03-02,Chennai,Madhapur,LB Nagar,7.64,42,115.39,4.12,4.05,UPI,Completed
R10022,2025-05-13,Chennai,Hitech City,Miyapur,7.3,24,153.45,4.95,4.22,Card,Completed
R10023,2025-03-11,Hyderabad,Mehdipatnam,Ameerpet,14.6,66,181.61,4.95,4.84,Cash,Completed
R10024,2025-01-16,Pune,Banjara Hills,Mehdipatnam,14.27,78,283.55,4.79,4.35,Cash,Completed
R10025,2025-05-03,Mumbai,Uppal,Madhapur,13.13,58,209.08,4.46,4.17,UPI,Completed
R10026,2025-05-12,Hyderabad,Banjara Hills,Somajiguda,12.77,75,260.0,4.21,4.08,UPI,Completed
